2026-06-16T07:57:34.721Z room=CFF3CCD9 round-result net=200 total=61030
2026-06-16T07:57:47.311Z room=CFF3CCD9 round-result net=200 total=61230
2026-06-16T07:58:00.383Z room=CFF3CCD9 round-result net=300 total=61430
2026-06-16T07:58:14.931Z room=CFF3CCD9 round-result net=-150 total=61730
2026-06-16T07:58:26.379Z room=CFF3CCD9 round-result net=275 total=61580
2026-06-16T07:58:37.692Z room=CFF3CCD9 round-result net=100 total=61855
2026-06-16T07:58:51.022Z room=CFF3CCD9 round-result net=-250 total=61955
2026-06-16T07:59:06.525Z room=CFF3CCD9 round-result net=150 total=61855
2026-06-16T07:59:19.070Z room=CFF3CCD9 round-result net=250 total=61855
2026-06-16T07:59:32.965Z room=CFF3CCD9 round-result net=425 total=62530
2026-06-16T07:59:46.083Z room=CFF3CCD9 round-result net=-50 total=62530
2026-06-16T07:59:58.438Z room=CFF3CCD9 round-result net=350 total=62480
2026-06-16T08:00:11.721Z room=CFF3CCD9 round-result net=600 total=62830
2026-06-16T08:00:23.878Z room=CFF3CCD9 round-result net=-150 total=63430
2026-06-16T08:00:37.511Z room=CFF3CCD9 round-result net=-250 total=63280
2026-06-16T08:00:51.911Z room=CFF3CCD9 round-result net=-250 total=63030
2026-06-16T08:01:02.986Z room=CFF3CCD9 round-result net=350 total=63130
2026-06-16T08:01:15.748Z room=CFF3CCD9 round-result net=200 total=63180
2026-06-16T08:01:28.271Z room=CFF3CCD9 round-result net=-50 total=63280
2026-06-16T08:01:41.987Z room=CFF3CCD9 round-result net=300 total=63330
2026-06-16T08:01:55.647Z room=CFF3CCD9 round-result net=700 total=64180
2026-06-16T08:02:09.411Z room=CFF3CCD9 round-result net=-350 total=64280
2026-06-16T08:02:21.013Z room=CFF3CCD9 round-result net=-300 total=63930
2026-06-16T08:02:34.228Z room=CFF3CCD9 round-result net=0 total=63630
2026-06-16T08:02:46.539Z room=CFF3CCD9 round-result net=375 total=63630
2026-06-16T08:03:01.303Z room=CFF3CCD9 round-result net=350 total=64355
2026-06-16T08:03:13.643Z room=CFF3CCD9 round-result net=100 total=64355
2026-06-16T08:03:27.083Z room=CFF3CCD9 round-result net=-200 total=64455
2026-06-16T08:03:39.756Z room=CFF3CCD9 round-result net=-100 total=64255
2026-06-16T08:03:52.359Z room=CFF3CCD9 round-result net=300 total=64155
2026-06-16T08:04:06.981Z room=CFF3CCD9 round-result net=50 total=64455
2026-06-16T08:04:21.530Z room=CFF3CCD9 round-result net=-150 total=64505
2026-06-16T08:04:32.997Z room=CFF3CCD9 round-result net=200 total=64355
2026-06-16T08:04:45.448Z room=CFF3CCD9 round-result net=-200 total=64555
2026-06-16T08:04:59.383Z room=CFF3CCD9 round-result net=-350 total=64005
2026-06-16T08:05:11.815Z room=CFF3CCD9 round-result net=250 total=63955
2026-06-16T08:05:25.725Z room=CFF3CCD9 round-result net=50 total=64255
2026-06-16T08:05:39.676Z room=CFF3CCD9 round-result net=-150 total=64305
2026-06-16T08:05:51.300Z room=CFF3CCD9 round-result net=400 total=64155
2026-06-16T08:06:05.567Z room=CFF3CCD9 round-result net=-250 total=64555
2026-06-16T08:06:20.021Z room=CFF3CCD9 round-result net=-100 total=64305
2026-06-16T08:06:33.077Z room=CFF3CCD9 round-result net=-50 total=64205
2026-06-16T08:06:45.306Z room=CFF3CCD9 round-result net=500 total=64655
2026-06-16T08:06:57.947Z room=CFF3CCD9 round-result net=400 total=64805
2026-06-16T08:07:11.007Z room=CFF3CCD9 round-result net=250 total=65055
2026-06-16T08:07:24.433Z room=CFF3CCD9 round-result net=300 total=65305
2026-06-16T08:07:37.078Z room=CFF3CCD9 round-result net=350 total=65605
2026-06-16T08:07:50.948Z room=CFF3CCD9 round-result net=150 total=65955
2026-06-16T08:08:03.301Z room=CFF3CCD9 round-result net=-25 total=66105
2026-06-16T08:08:14.810Z room=CFF3CCD9 round-result net=-50 total=66080
2026-06-16T08:08:28.890Z room=CFF3CCD9 round-result net=-300 total=66030
2026-06-16T08:08:43.298Z room=CFF3CCD9 round-result net=500 total=65730
2026-06-16T08:08:54.153Z room=CFF3CCD9 round-result net=400 total=66230
2026-06-16T08:09:09.367Z room=CFF3CCD9 round-result net=-500 total=66630
2026-06-16T08:09:22.998Z room=CFF3CCD9 round-result net=100 total=66130
2026-06-16T08:09:34.896Z room=CFF3CCD9 round-result net=75 total=66230
2026-06-16T08:09:45.558Z room=CFF3CCD9 round-result net=250 total=66305
2026-06-16T08:09:58.476Z room=CFF3CCD9 round-result net=200 total=66555
2026-06-16T08:10:09.637Z room=CFF3CCD9 round-result net=-400 total=66755
2026-06-16T08:10:21.203Z room=CFF3CCD9 round-result net=-350 total=66355
2026-06-16T08:10:34.593Z room=CFF3CCD9 round-result net=-250 total=66005
2026-06-16T08:10:47.028Z room=CFF3CCD9 round-result net=425 total=65755
2026-06-16T08:10:58.557Z room=CFF3CCD9 round-result net=150 total=66180
2026-06-16T08:11:11.472Z room=CFF3CCD9 round-result net=100 total=66330
2026-06-16T08:11:23.397Z room=CFF3CCD9 round-result net=250 total=66430
2026-06-16T08:11:35.710Z room=CFF3CCD9 round-result net=325 total=66680
2026-06-16T08:11:49.345Z room=CFF3CCD9 round-result net=-200 total=67005
2026-06-16T08:12:01.746Z room=CFF3CCD9 round-result net=-300 total=66805
2026-06-16T08:12:16.185Z room=CFF3CCD9 round-result net=-50 total=66505
2026-06-16T08:12:30.530Z room=CFF3CCD9 round-result net=-350 total=66455
2026-06-16T08:12:44.418Z room=CFF3CCD9 round-result net=-200 total=66105
2026-06-16T08:12:57.066Z room=CFF3CCD9 round-result net=400 total=65905
2026-06-16T08:13:10.015Z room=CFF3CCD9 round-result net=50 total=66305
2026-06-16T08:13:23.561Z room=CFF3CCD9 round-result net=-350 total=66355
2026-06-16T08:13:36.060Z room=CFF3CCD9 round-result net=0 total=66005
2026-06-16T08:13:48.767Z room=CFF3CCD9 round-result net=-400 total=66005
2026-06-16T08:14:00.797Z room=CFF3CCD9 round-result net=475 total=65605
2026-06-16T08:14:15.918Z room=CFF3CCD9 round-result net=300 total=66080
2026-06-16T08:14:30.110Z room=CFF3CCD9 round-result net=500 total=66380
2026-06-16T08:14:43.228Z room=CFF3CCD9 round-result net=250 total=66880
2026-06-16T08:14:57.775Z room=CFF3CCD9 round-result net=150 total=67130
2026-06-16T08:15:10.610Z room=CFF3CCD9 round-result net=50 total=67280
2026-06-16T08:15:23.686Z room=CFF3CCD9 round-result net=75 total=67330
2026-06-16T08:15:35.946Z room=CFF3CCD9 round-result net=-350 total=67405
2026-06-16T08:15:50.543Z room=CFF3CCD9 round-result net=300 total=67355
2026-06-16T08:16:03.791Z room=CFF3CCD9 round-result net=-400 total=67255
2026-06-16T08:16:16.626Z room=CFF3CCD9 round-result net=-75 total=66955
2026-06-16T08:16:29.878Z room=CFF3CCD9 round-result net=-450 total=66880
2026-06-16T08:16:43.277Z room=CFF3CCD9 round-result net=250 total=66430
2026-06-16T08:16:56.584Z room=CFF3CCD9 round-result net=-350 total=66680
2026-06-16T08:17:08.830Z room=CFF3CCD9 round-result net=125 total=66330
2026-06-16T08:17:22.238Z room=CFF3CCD9 round-result net=-250 total=66455
2026-06-16T08:17:35.455Z room=CFF3CCD9 round-result net=200 total=66205
2026-06-16T08:17:47.293Z room=CFF3CCD9 round-result net=75 total=66405
2026-06-16T08:18:00.660Z room=CFF3CCD9 round-result net=300 total=66480
2026-06-16T08:18:13.294Z room=CFF3CCD9 round-result net=350 total=66780
2026-06-16T08:18:26.983Z room=CFF3CCD9 round-result net=-50 total=67130
2026-06-16T08:18:41.276Z room=CFF3CCD9 round-result net=-200 total=67080
2026-06-16T08:18:53.905Z room=CFF3CCD9 round-result net=-25 total=66880
2026-06-16T08:19:04.444Z room=CFF3CCD9 round-result net=-25 total=66855
2026-06-16T08:19:17.928Z room=CFF3CCD9 round-result net=-300 total=66830
2026-06-16T08:19:30.986Z room=CFF3CCD9 round-result net=-200 total=66530
2026-06-16T08:19:43.684Z room=CFF3CCD9 round-result net=-50 total=66330
2026-06-16T08:19:56.493Z room=CFF3CCD9 round-result net=-125 total=66280
2026-06-16T08:20:10.057Z room=CFF3CCD9 round-result net=-50 total=66155
2026-06-16T08:20:23.782Z room=CFF3CCD9 round-result net=400 total=66105
2026-06-16T08:20:34.812Z room=CFF3CCD9 round-result net=-350 total=66505
2026-06-16T08:20:46.353Z room=CFF3CCD9 round-result net=-150 total=66155
2026-06-16T08:21:00.257Z room=CFF3CCD9 round-result net=250 total=66005
2026-06-16T08:21:14.148Z room=CFF3CCD9 round-result net=-450 total=66255
2026-06-16T08:21:27.148Z room=CFF3CCD9 round-result net=0 total=65805
2026-06-16T08:21:40.330Z room=CFF3CCD9 round-result net=-450 total=65805
2026-06-16T08:21:53.229Z room=CFF3CCD9 round-result net=-300 total=65355
2026-06-16T08:22:04.956Z room=CFF3CCD9 round-result net=-200 total=65055
2026-06-16T08:22:17.390Z room=CFF3CCD9 round-result net=-225 total=64855
2026-06-16T08:22:28.258Z room=CFF3CCD9 round-result net=-200 total=64630
2026-06-16T08:22:40.669Z room=CFF3CCD9 round-result net=325 total=64430
2026-06-16T08:22:53.754Z room=CFF3CCD9 round-result net=-100 total=64655
2026-06-16T08:23:05.660Z room=CFF3CCD9 round-result net=350 total=64655
2026-06-16T08:23:18.389Z room=CFF3CCD9 round-result net=-75 total=65005
2026-06-16T08:23:32.932Z room=CFF3CCD9 round-result net=-300 total=64930
2026-06-16T08:23:44.677Z room=CFF3CCD9 round-result net=-150 total=64630
2026-06-16T08:23:58.791Z room=CFF3CCD9 round-result net=400 total=64480
2026-06-16T08:24:12.785Z room=CFF3CCD9 round-result net=-200 total=64880
2026-06-16T08:24:26.557Z room=CFF3CCD9 round-result net=450 total=64680
2026-06-16T08:24:38.446Z room=CFF3CCD9 round-result net=275 total=65130
2026-06-16T08:24:51.667Z room=CFF3CCD9 round-result net=-500 total=65405
2026-06-16T08:25:06.669Z room=CFF3CCD9 round-result net=300 total=64905
2026-06-16T08:25:20.650Z room=CFF3CCD9 round-result net=-250 total=65205
2026-06-16T08:25:33.670Z room=CFF3CCD9 round-result net=-175 total=64955
2026-06-16T08:25:45.451Z room=CFF3CCD9 round-result net=400 total=64780
2026-06-16T08:25:58.877Z room=CFF3CCD9 round-result net=400 total=65180
2026-06-16T08:26:12.293Z room=CFF3CCD9 round-result net=300 total=65580
2026-06-16T08:26:27.120Z room=CFF3CCD9 round-result net=-100 total=65880
2026-06-16T08:26:39.339Z room=CFF3CCD9 round-result net=350 total=65780
2026-06-16T08:26:52.265Z room=CFF3CCD9 round-result net=350 total=66130
2026-06-16T08:27:03.664Z room=CFF3CCD9 round-result net=150 total=66480
2026-06-16T08:27:18.343Z room=CFF3CCD9 round-result net=50 total=66630
2026-06-16T08:27:29.945Z room=CFF3CCD9 round-result net=-150 total=66680
2026-06-16T08:27:43.146Z room=CFF3CCD9 round-result net=-400 total=66130
2026-06-16T08:27:54.799Z room=CFF3CCD9 round-result net=-150 total=66130
2026-06-16T08:28:08.800Z room=CFF3CCD9 round-result net=-250 total=65980
2026-06-16T08:28:22.396Z room=CFF3CCD9 round-result net=100 total=65730
2026-06-16T08:28:35.049Z room=CFF3CCD9 round-result net=300 total=65830
2026-06-16T08:28:50.361Z room=CFF3CCD9 round-result net=450 total=66130
2026-06-16T08:29:02.520Z room=CFF3CCD9 round-result net=-400 total=66580
2026-06-16T08:29:16.539Z room=CFF3CCD9 round-result net=-350 total=66180
2026-06-16T08:29:28.144Z room=CFF3CCD9 round-result net=50 total=65830
2026-06-16T08:29:42.723Z room=CFF3CCD9 round-result net=-300 total=65880
2026-06-16T08:29:54.914Z room=CFF3CCD9 round-result net=100 total=65580
2026-06-16T08:30:09.152Z room=CFF3CCD9 round-result net=350 total=65680
2026-06-16T08:30:21.492Z room=CFF3CCD9 round-result net=250 total=66030
2026-06-16T08:30:32.890Z room=CFF3CCD9 round-result net=300 total=66280
2026-06-16T08:30:44.754Z room=CFF3CCD9 round-result net=400 total=66580
2026-06-16T08:30:59.170Z room=CFF3CCD9 round-result net=450 total=66980
2026-06-16T08:31:11.109Z room=CFF3CCD9 round-result net=-250 total=67430
2026-06-16T08:31:24.939Z room=CFF3CCD9 round-result net=-50 total=67180
2026-06-16T08:31:40.878Z room=CFF3CCD9 round-result net=350 total=67130
2026-06-16T08:31:52.352Z room=CFF3CCD9 round-result net=200 total=67480
2026-06-16T08:32:06.988Z room=CFF3CCD9 round-result net=-200 total=67680
2026-06-16T08:32:21.545Z room=CFF3CCD9 round-result net=500 total=67480
2026-06-16T08:32:34.256Z room=CFF3CCD9 round-result net=325 total=67980
2026-06-16T08:32:48.491Z room=CFF3CCD9 round-result net=300 total=68305
2026-06-16T08:33:01.616Z room=CFF3CCD9 round-result net=-75 total=68605
2026-06-16T08:33:14.421Z room=CFF3CCD9 round-result net=400 total=68530
2026-06-16T08:33:27.910Z room=CFF3CCD9 round-result net=300 total=68930
2026-06-16T08:33:42.842Z room=CFF3CCD9 round-result net=50 total=69230
2026-06-16T08:33:58.319Z room=CFF3CCD9 round-result net=200 total=69280
2026-06-16T08:34:10.593Z room=CFF3CCD9 round-result net=-500 total=69480
2026-06-16T08:34:23.448Z room=CFF3CCD9 round-result net=-300 total=68980
2026-06-16T08:34:36.913Z room=CFF3CCD9 round-result net=475 total=68680
2026-06-16T08:34:50.705Z room=CFF3CCD9 round-result net=-200 total=69155
2026-06-16T08:35:02.297Z room=CFF3CCD9 round-result net=50 total=68955
2026-06-16T08:35:14.587Z room=CFF3CCD9 round-result net=-75 total=69005
2026-06-16T08:35:28.881Z room=CFF3CCD9 round-result net=0 total=68930
2026-06-16T08:35:41.957Z room=CFF3CCD9 round-result net=-300 total=68630
2026-06-16T08:35:53.117Z room=CFF3CCD9 round-result net=200 total=68730
2026-06-16T08:36:05.668Z room=CFF3CCD9 round-result net=-75 total=68830
2026-06-16T08:36:19.262Z room=CFF3CCD9 round-result net=600 total=68755
2026-06-16T08:36:32.114Z room=CFF3CCD9 round-result net=375 total=69355
2026-06-16T08:36:44.964Z room=CFF3CCD9 round-result net=200 total=69730
2026-06-16T08:36:58.266Z room=CFF3CCD9 round-result net=0 total=69930
2026-06-16T08:37:11.565Z room=CFF3CCD9 round-result net=100 total=70030
2026-06-16T08:37:22.249Z room=CFF3CCD9 round-result net=50 total=70030
2026-06-16T08:37:35.449Z room=CFF3CCD9 round-result net=350 total=70080
2026-06-16T08:37:47.184Z room=CFF3CCD9 round-result net=-250 total=70430
2026-06-16T08:38:00.599Z room=CFF3CCD9 round-result net=100 total=70180
2026-06-16T08:38:10.882Z room=CFF3CCD9 round-result net=-300 total=70280
2026-06-16T08:38:22.824Z room=CFF3CCD9 round-result net=-150 total=69980
2026-06-16T08:38:36.716Z room=CFF3CCD9 round-result net=-50 total=69830
2026-06-16T08:38:49.859Z room=CFF3CCD9 round-result net=-50 total=69780
2026-06-16T08:39:04.094Z room=CFF3CCD9 round-result net=250 total=69980
2026-06-16T08:39:16.272Z room=CFF3CCD9 round-result net=250 total=70030
2026-06-16T08:39:29.218Z room=CFF3CCD9 round-result net=-250 total=70230
2026-06-16T08:39:41.467Z room=CFF3CCD9 round-result net=50 total=69980
2026-06-16T08:39:55.031Z room=CFF3CCD9 round-result net=-250 total=70030
2026-06-16T08:40:07.285Z room=CFF3CCD9 round-result net=-100 total=69780
2026-06-16T08:40:20.524Z room=CFF3CCD9 round-result net=-50 total=69630
2026-06-16T08:40:31.867Z room=CFF3CCD9 round-result net=0 total=69630
2026-06-16T08:40:43.096Z room=CFF3CCD9 round-result net=0 total=69630
2026-06-16T08:40:58.932Z room=CFF3CCD9 round-result net=50 total=69680
2026-06-16T08:41:11.555Z room=CFF3CCD9 round-result net=-300 total=69530
2026-06-16T08:41:26.570Z room=CFF3CCD9 round-result net=-150 total=69380
2026-06-16T08:41:38.938Z room=CFF3CCD9 round-result net=-150 total=69230
2026-06-16T08:41:52.130Z room=CFF3CCD9 round-result net=100 total=69080
2026-06-16T08:42:06.043Z room=CFF3CCD9 round-result net=-250 total=69180
2026-06-16T08:42:18.195Z room=CFF3CCD9 round-result net=-150 total=68930
2026-06-16T08:42:31.109Z room=CFF3CCD9 round-result net=-200 total=68780
2026-06-16T08:42:45.075Z room=CFF3CCD9 round-result net=-150 total=68580
2026-06-16T08:42:58.987Z room=CFF3CCD9 round-result net=0 total=68430
2026-06-16T08:43:13.451Z room=CFF3CCD9 round-result net=-300 total=68430
2026-06-16T08:43:26.155Z room=CFF3CCD9 round-result net=-50 total=68130
2026-06-16T08:43:40.474Z room=CFF3CCD9 round-result net=100 total=68080
2026-06-16T08:43:52.315Z room=CFF3CCD9 round-result net=-150 total=68180
2026-06-16T08:44:05.988Z room=CFF3CCD9 round-result net=475 total=68505
2026-06-16T08:44:17.865Z room=CFF3CCD9 round-result net=-150 total=68455
2026-06-16T08:44:29.858Z room=CFF3CCD9 round-result net=0 total=68355
2026-06-16T08:44:44.430Z room=CFF3CCD9 round-result net=100 total=68455
2026-06-16T08:44:56.864Z room=CFF3CCD9 round-result net=-250 total=68455
2026-06-16T08:45:08.687Z room=CFF3CCD9 round-result net=350 total=68205
2026-06-16T08:45:22.053Z room=CFF3CCD9 round-result net=350 total=68555
2026-06-16T08:45:33.827Z room=CFF3CCD9 round-result net=50 total=68905
2026-06-16T08:45:46.876Z room=CFF3CCD9 round-result net=-450 total=68955
2026-06-16T08:45:58.910Z room=CFF3CCD9 round-result net=-300 total=68505
2026-06-16T08:46:11.683Z room=CFF3CCD9 round-result net=-350 total=68205
2026-06-16T08:46:24.210Z room=CFF3CCD9 round-result net=-300 total=67855
2026-06-16T08:46:36.864Z room=CFF3CCD9 round-result net=-150 total=67555
2026-06-16T08:46:50.575Z room=CFF3CCD9 round-result net=250 total=67405
2026-06-16T08:47:04.647Z room=CFF3CCD9 round-result net=-50 total=67655
2026-06-16T08:47:21.312Z room=CFF3CCD9 round-result net=-100 total=67505
2026-06-16T08:47:33.315Z room=CFF3CCD9 round-result net=350 total=67505
2026-06-16T08:47:45.781Z room=CFF3CCD9 round-result net=75 total=67855
2026-06-16T08:48:01.672Z room=CFF3CCD9 round-result net=400 total=67930
2026-06-16T08:48:16.616Z room=CFF3CCD9 round-result net=-400 total=68330
2026-06-16T08:48:29.625Z room=CFF3CCD9 round-result net=-400 total=67930
2026-06-16T08:48:42.468Z room=CFF3CCD9 round-result net=125 total=67530
2026-06-16T08:48:54.268Z room=CFF3CCD9 round-result net=-400 total=67655
2026-06-16T08:49:07.493Z room=CFF3CCD9 round-result net=-250 total=67255
2026-06-16T08:49:22.022Z room=CFF3CCD9 round-result net=350 total=67005
2026-06-16T08:49:36.959Z room=CFF3CCD9 round-result net=400 total=67355
2026-06-16T08:49:49.778Z room=CFF3CCD9 round-result net=50 total=67755
